Station Names,Max Temp,Min Temp,Relative Humidity,Wind Speed,Bright Sunshine,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,inverse(Cloud Coverage),Station_Barisal,Station_Bhola,Station_Bogra,Station_Chandpur,Station_Chittagong (City-Ambagan),Station_Chittagong (IAP-Patenga),Station_Chuadanga,Station_Comilla,Station_Coxs Bazar,Station_Dhaka,Station_Dinajpur,Station_Faridpur,Station_Feni,Station_Hatiya,Station_Ishurdi,Station_Jessore,Station_Khepupara,Station_Khulna,Station_Kutubdia,Station_Madaripur,Station_Maijdee Court,Station_Mongla,Station_Mymensingh,Station_Patuakhali,Station_Rajshahi,Station_Rangamati,Station_Rangpur,Station_Sandwip,Station_Satkhira,Station_Sitakunda,Station_Srimangal,Station_Syedpur,Station_Sylhet,Station_Tangail,Station_Teknaf,ln(Rainfall),Rainfall
Barisal,29.4,12.3,68,0.453703704,7.831914894,536809.8,510151.9,22.7,90.36,4,1.666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,0
Barisal,30,14.1,77,0.453703704,7.831914894,536809.8,510151.9,22.7,90.36,4,1.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,0
Barisal,28.2,12.3,77,0.453703704,7.831914894,536809.8,510151.9,22.7,90.36,4,1.666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,0
Barisal,26.6,12.3,77,0.453703704,7.831914894,536809.8,510151.9,22.7,90.36,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147181,2
Barisal,30,13.3,75,0.453703704,7.831914894,536809.8,510151.9,22.7,90.36,4,0.625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.302585093,10
Barisal,27.8,12.7,72,0.453703704,7.831914894,536809.8,510151.9,22.7,90.36,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,0
Barisal,26.6,12.3,77,0.453703704,7.831914894,536809.8,510151.9,22.7,90.36,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147181,2
Barisal,29.4,14.3,74,0.453703704,7.831914894,536809.8,510151.9,22.7,90.36,4,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.833213344,17
Barisal,30.1,15.1,80,0.453703704,7.831914894,536809.8,510151.9,22.7,90.36,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.644390899,104
Barisal,31.1,15.5,77,0.453703704,7.831914894,536809.8,510151.9,22.7,90.36,4,0.588235294,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,0
