,Station Names,Max Temp,Min Temp,Relative Humidity,Wind Speed,Cloud Coverage,Bright Sunshine,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,sqr(Min Temp),log(Relative Humidity),Station_Barisal,Station_Bhola,Station_Bogra,Station_Chandpur,Station_Chittagong (City-Ambagan),Station_Chittagong (IAP-Patenga),Station_Chuadanga,Station_Comilla,Station_Coxs Bazar,Station_Dhaka,Station_Dinajpur,Station_Faridpur,Station_Feni,Station_Hatiya,Station_Ishurdi,Station_Jessore,Station_Khepupara,Station_Khulna,Station_Kutubdia,Station_Madaripur,Station_Maijdee Court,Station_Mongla,Station_Mymensingh,Station_Patuakhali,Station_Rajshahi,Station_Rangamati,Station_Rangpur,Station_Sandwip,Station_Satkhira,Station_Sitakunda,Station_Srimangal,Station_Syedpur,Station_Sylhet,Station_Tangail,Station_Teknaf,Rainfall,ln(Rainfall)
0,Barisal,29.4,12.3,68,0.453703704,0.6,7.831914894,536809.8,510151.9,22.7,90.36,4,151.29,1.832508913,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?
1,Barisal,30,14.1,77,0.453703704,0.8,7.831914894,536809.8,510151.9,22.7,90.36,4,198.81,1.886490725,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?
2,Barisal,28.2,12.3,77,0.453703704,0.6,7.831914894,536809.8,510151.9,22.7,90.36,4,151.29,1.886490725,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?
3,Barisal,26.6,12.3,77,0.453703704,1,7.831914894,536809.8,510151.9,22.7,90.36,4,151.29,1.886490725,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.693147181
4,Barisal,30,13.3,75,0.453703704,1.6,7.831914894,536809.8,510151.9,22.7,90.36,4,176.89,1.875061263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.302585093
5,Barisal,27.8,12.7,72,0.453703704,0.5,7.831914894,536809.8,510151.9,22.7,90.36,4,161.29,1.857332496,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?
6,Barisal,26.6,12.3,77,0.453703704,1,7.831914894,536809.8,510151.9,22.7,90.36,4,151.29,1.886490725,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.693147181
7,Barisal,29.4,14.3,74,0.453703704,0.4,7.831914894,536809.8,510151.9,22.7,90.36,4,204.49,1.86923172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2.833213344
8,Barisal,30.1,15.1,80,0.453703704,1,7.831914894,536809.8,510151.9,22.7,90.36,4,228.01,1.903089987,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,4.644390899
9,Barisal,31.1,15.5,77,0.453703704,1.7,7.831914894,536809.8,510151.9,22.7,90.36,4,240.25,1.886490725,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?
