,Station Names,Max Temp,Min Temp,Relative Humidity,Wind Speed,Cloud Coverage,Bright Sunshine,Station Number,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Period,Rainfall,Station_Barisal,Station_Bhola,Station_Bogra,Station_Chandpur,Station_Chittagong (City-Ambagan),Station_Chittagong (IAP-Patenga),Station_Chuadanga,Station_Comilla,Station_Coxs Bazar,Station_Dhaka,Station_Dinajpur,Station_Faridpur,Station_Feni,Station_Hatiya,Station_Ishurdi,Station_Jessore,Station_Khepupara,Station_Khulna,Station_Kutubdia,Station_Madaripur,Station_Maijdee Court,Station_Mongla,Station_Mymensingh,Station_Patuakhali,Station_Rajshahi,Station_Rangamati,Station_Rangpur,Station_Sandwip,Station_Satkhira,Station_Sitakunda,Station_Srimangal,Station_Syedpur,Station_Sylhet,Station_Tangail,Station_Teknaf
0,Barisal,29.4,12.3,68.0,0.453703704,0.6,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1949.01,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Barisal,30.0,14.1,77.0,0.453703704,0.8,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1950.01,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Barisal,28.2,12.3,77.0,0.453703704,0.6,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1951.01,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Barisal,26.6,12.3,77.0,0.453703704,1.0,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1952.01,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Barisal,30.0,13.3,75.0,0.453703704,1.6,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1953.01,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Barisal,27.8,12.7,72.0,0.453703704,0.5,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1954.01,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Barisal,26.6,12.3,77.0,0.453703704,1.0,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1955.01,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Barisal,29.4,14.3,74.0,0.453703704,0.4,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1956.01,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Barisal,30.1,15.1,80.0,0.453703704,1.0,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1957.01,104.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Barisal,31.1,15.5,77.0,0.453703704,1.7,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1958.01,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Barisal,29.9,14.5,77.0,0.453703704,1.4,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1959.01,24.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Barisal,27.3,12.8,71.0,0.3,1.3,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1960.01,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Barisal,28.8,14.5,73.0,0.2,1.7,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1961.01,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Barisal,28.3,11.6,74.0,0.3,0.5,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1962.01,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Barisal,27.7,12.2,67.0,0.2,0.5,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1963.01,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Barisal,26.6,12.3,77.0,0.4,0.9,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1964.01,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
